ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Pisazo de 141 m2 utiles y trastero de 11 m2 en sotano. 4 habitaciones, 2 baños completos, cocina equipada y amplio salon. Vistas playa, mar y piscinas. Urbanizacion con zona amplias zonas verdes, dos piscinas, fronton, zona juegos y acceso directo a la playa. Garaje cerrado opcional. Posibilidad de dos viviendas independientes. Ocasion.",Anuncio actualizado el 28 de febrero,0,0,2,1,0,segunda mano/buen estado,,en trámite,,plaza de garaje incluida en el precio,0,,,84028280,Piso,,1,Zarautz,," , Zarautz , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",141,,2019-04-01,,845000,0,4,1,1,0,
,Anuncio actualizado el 25 de marzo,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,plaza de garaje incluida en el precio,0,,,84380522,Piso,,1,Zestoa,"Calle Portale, 1"," Calle Portale, 1 , Zestoa , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",80,,2019-04-01,,250000,0,2,0,0,0,
"Casa adosada, restaurada completamente, 2 dormitorios(vestidor y mueble empotrado), 2 baños (hidromasaje), sala amplia, cocina amplia y equipada, despensa, ultima planta lof, calefacción y chimenea, garaje, terraza 80m. , amueblado.",Anuncio actualizado el 31 de marzo,0,0,2,1,1,segunda mano/buen estado,2008,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,34982793, Casa de pueblo,,,Zumaia,"Oikia Auzoa Auzoa, 58 b"," Oikia Auzoa Auzoa, 58 b , Zumaia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",145,235,2019-04-01,"norte, sur",260000,0,2,1,0,1,
,Anuncio actualizado el 10 de abril,0,0,2,0,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,,0,,,32489909,Dúplex,,0,Zarautz,," , Zarautz , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",175,160,2019-04-01,,550000,0,3,0,0,0,
"Piso hermoso a reformar 65 m2 con muchas posibilidades. 2 Habitaciones, salón-comedor, cocina, baño. Ventanas nuevas. Todo exterior. Portal recien reformado y ascensor nuevo.,Precio negociable!",Anuncio actualizado el 9 de enero,0,0,1,0,0,segunda mano/para reformar,,no indicado,planta 2ª exterior,,0,,,39241920,Piso,,1,Azpeitia,"Landeta Hiribidea, 20"," Landeta Hiribidea, 20 , Azpeitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",70,65,2019-04-01,,95000,0,2,0,0,0,
"distribución:, 2 vecinos en el edificio, la casa dispone de:,portero automático.",Anuncio actualizado el 29 de octubre,0,0,1,1,0,segunda mano/buen estado,,no indicado,planta 3ª exterior,,0,,,1934829,Piso,,0,Azpeitia,"Calle Enparan, 9"," Calle Enparan, 9 , Azpeitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",70,,2019-04-01,,156000,0,2,0,0,0,
Hermoso piso con chimeneta y terraza con vistas impresionantes. Unico ruido: El canto de búhos. También lo alquilaría por 550E. /mes.,Anuncio actualizado el 17 de marzo,0,0,2,1,0,segunda mano/buen estado,,,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,25032831,Piso,,0,Aia,"Calle de Iturri, 15"," Calle de Iturri, 15 , Aia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",95,90,2019-04-01,"norte, este",195000,0,3,1,0,1,
"Dúplex de 140m2 con: 4 habitaciones, 3 baños, 1 terraza, 1 balcón, cocina amueblada, salón, suite, patio semi exterior, 2 rayas de garaje, piscina comunitaria, 7 años de construcción, semi nuevo.",Anuncio actualizado el 18 de marzo,0,1,3,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,plaza de garaje incluida en el precio,1,,,30482671,Dúplex,,1,Zestoa,"Calle Sabea, 1"," Calle Sabea, 1 , Zestoa , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",140,,2019-04-01,,300000,0,4,0,1,1,
"Apartamento en el centro de Zarautz. Orientación norte. Consta de dormitorio, cocina, amplio salón y baño completo. 4ª planta. Sin ascensor en la actualidad, con posibilidad y proyecto realizado.",Anuncio actualizado el 11 de marzo,0,0,1,0,0,segunda mano/para reformar,,no indicado,planta 4ª exterior,,0,,,36407710,Piso,,0,Zarautz,"Calle Zigordia, 37"," Calle Zigordia, 37 , Zarautz , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",40,,2019-04-01,norte,195000,0,1,0,0,0,
"Vivienda open concept con chimenea, que consta de dos habitaciones dobles con baño y armario a medida, espacio diáfano superior con estudio y gimnasio. Posibilidad de tercera habitación. Suelo radiante. Entorno tranquilo, a 10 minutos de Zarautz y San Sebastian.",Anuncio actualizado el 24 de marzo,0,0,2,0,0,segunda mano/buen estado,,,planta 2ª exterior,,1,,,37921771,Dúplex,,0,Aia,"Calle Andatza, 19"," Calle Andatza, 19 , Aia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",120,,2019-04-01,"norte, sur, este, oeste",239999,0,2,0,0,0,
"Pisua salgai Gurutzalde kalean. 3gela, sukaldea, egongela eta komun bat, 2 balkoi eta trastelekua ditu. Piso en venta en Gurutzalde kalean. Tiene 3 habitaciones, cocina, salón, un baño y dos balcones. También tiene un trastero. Contrato firmado para reforma de fachada a cuenta del propietario actual.",Anuncio actualizado el 31 de marzo,0,0,1,0,0,segunda mano/para reformar,,no indicado,planta 3ª exterior,,0,,,38740322,Piso,,1,Zestoa,"Calle Gurutze, 3"," Calle Gurutze, 3 , Zestoa , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",96,,2019-04-01,,120000,0,3,0,0,0,
"distribución:,terraza descubierta de 20 m2.",Anuncio actualizado el 24 de marzo,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 4ª exterior,,0,,,373544,Piso,,0,Azkoitia,"Calle Mayor, 74"," Calle Mayor, 74 , Azkoitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",131,111,2019-04-01,,179000,0,2,0,0,1,
"se vende adosada de 128m2 de planta, se compone de planta baja, desvan y porche. Terreno de 400m2 con arboles frutales y prado. Bonitas vistas. Ubicado en el barrio Izarraitz.",Anuncio actualizado el 27 de diciembre,0,0,2,0,1,segunda mano/buen estado,,,2 plantas,plaza de garaje incluida en el precio,1,,,82108945, Finca rústica,,,Azkoitia,"Calle Izarraitz, 25"," Calle Izarraitz, 25 , Azkoitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",4000,330,2019-04-01,norte,450000,0,4,1,0,0,
"CASERIO a reformar en Azpeitia, a 20’ de la costa (Zumaia) y a 7’ del pueblo de Azpeitia. Tejado reformado. Agua, luz y carretera. Oportunidad de inversión.",Anuncio actualizado el 22 de enero,0,0,3,0,0,segunda mano/para reformar,,no indicado,3 plantas,,1,,,83080142, Finca rústica,,,Azpeitia,Barrio Aratz-Erreka s/n," Barrio Aratz-Erreka s/n , Azpeitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",25000,300,2019-04-01,sur,198000,0,8,0,0,0,
"Casa ubicada en un alto con vistas excelentes de 300º alrededor, rodeada de bosque y montaña en entorno idílico de naturaleza.,Casa reformada. Ventanas nuevas de PVC.",Anuncio actualizado el 24 de febrero,0,0,2,0,0,segunda mano/buen estado,1985,no indicado,2 plantas,,1,,,83646863, Casa o chalet independiente,,,Azkoitia,"madariaga auzoa, 100 w"," madariaga auzoa, 100 w , Azkoitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",12000,,2019-04-01,,350000,0,3,0,0,1,
